,Property Name,Borough,yb,ppt,Property Type,Occupancy,seui,ngu,eu,tge,wu
29314,P & R Heights,Manhattan,1927,Multifamily Housing,Multifamily,100,58.4,4290993.4,141680.8,239.7,3875.8
29315,L & L Realty: 353 FT WASHINGTON AVE,Manhattan,1924,Multifamily Housing,Multifamily,100,119.7,158500.0,895346.3,495.4,16217.966089617938
29316,ADI: 615 West 172nd Street,Manhattan,1922,Multifamily Housing,Multifamily,100,104.8,4723500.3,1143122.4,345.7,3114.9
29317,250 Fort Washington Ave,Manhattan,1921,Multifamily Housing,Multifamily,100,120.7,3981500.3,652753.1,265.6,2626.0
29318,605 West 170th Street,Manhattan,1922,Multifamily Housing,Multifamily,100,176.2,5695942.8,2757089.5,531.2,3342.3
29319,620 West 171st Street,Manhattan,1922,Multifamily Housing,Multifamily,100,169.8,5237724.2,2238206.2,463.8,6022.6
29320,260 fort washington av,Manhattan,1930,Office,Office,100,159.5,5677625.4,855004.6,372.5,7798.8
29321,647-651 West 171st St.,Manhattan,1922,Multifamily Housing,Multifamily,100,51.0,204100.0,5425836.0760790175,267.0,3082.0
29322,Sunshine Capital LLC (621),Manhattan,1922,Multifamily Housing,Multifamily,100,156.9,4358505.5,1050828.9,355.0,16217.966089617938
29323,Sunshine Capital LLC (620),Manhattan,1922,Multifamily Housing,Multifamily,100,129.2,3082985.3,1137435.8,299.1,16217.966089617938
29324,280 Fort Washington Ave,Manhattan,1915,Multifamily Housing,Multifamily,100,70.8,2879299.6,588044.6,201.7,2220.2
29325,286 F.W. INC.,Manhattan,1920,Multifamily Housing,Multifamily,100,129.4,412306.5,1147723.6,448.0,16217.966089617938
29326,4081 Broadway,Manhattan,1924,Multifamily Housing,Multifamily,100,195.4,7284383.2,1597195.7,519.4,16217.966089617938
29327,"173 Broadway Associates, LLC",Manhattan,1920,Multifamily Housing,Multifamily,100,201.5,2282886.6,1880099.3,688.9,16217.966089617938
29328,300 Fort Washington Avenue,Manhattan,1920,Multifamily Housing,Multifamily,100,163.7,342519.4,1241642.3,508.9,5085.3
29329,336 Fort Washington Ave,Manhattan,1924,Multifamily Housing,Multifamily,100,122.9,5185599.9,1225576.7,385.3,16217.966089617938
29330,A&E - Original - 370 Fort Washington,Manhattan,1929,Multifamily Housing,Multifamily,100,132.7,7564081.9,1275937.4,533.2,7859.0
